Row,Tipo,Parola,Significato,Parti del discorso,Disambiguation,Root,Group,Special Note,Participio Passato Irregolare,Aus.,Prep. Before Next Infinitive,Dizionario
1,Alta Disponibilità,a,1,s.f. e m.inv.,Letter,,Letters of the Alphabet,,,,,http://dizionario.internazionale.it/parola/a
2,Fondamentale,a,2,prep.,Preposition,,Prepositions,,,,,http://dizionario.internazionale.it/parola/a_2
3,Alta Disponibilità,abbagliante,,"p.pres., agg., s.m.",,abbagliare,,,,,,http://dizionario.internazionale.it/parola/abbagliante
4,Alta Disponibilità,abbaiare,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbaiare
5,Fondamentale,abbandonare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbandonare
6,Alto Uso,abbandonato,,"p.pass., agg., s.m.",,abbandonare,,,,,,http://dizionario.internazionale.it/parola/abbandonato
7,Alto Uso,abbandono,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/abbandono
8,Fondamentale,abbassare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbassare
9,Alta Disponibilità,abbasso,,"avv., inter.",,,,,,,,http://dizionario.internazionale.it/parola/abbasso
10,Fondamentale,abbastanza,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/abbastanza
11,Alto Uso,abbattere,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbattere
12,Alta Disponibilità,abbeverare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbeverare
13,Alto Uso,abbigliamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/abbigliamento
14,Alto Uso,abbinare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbinare
15,Alto Uso,abbonamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/abbonamento
16,Alta Disponibilità,abbonare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbonare
17,Alto Uso,abbondante,,"p.pres., agg.",,abbondare,,,,,,http://dizionario.internazionale.it/parola/abbondante
18,Alta Disponibilità,abbondare,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/abbondare
19,Alta Disponibilità,abbottonare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbottonare
20,Fondamentale,abbracciare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbracciare
