Italian,Korean,Gender,Example_IT,Example_KR
tornare,돌아오다,-,Devo tornare a casa prima di cena.,저녁 식사 전에 집에 돌아가야 해요.
campo,공/밭/광장/구역,m,I bambini giocano nel campo di calcio.,아이들이 축구장에서 놀고 있어요.
estero,외국의/타인의,m,Mio fratello vive e lavora all'estero.,우리 형은 해외에서 살며 일하고 있어요.
pensare,생각하다/고려하다,-,Penso che sia un'ottima idea.,아주 좋은 생각이라고 생각해요.
cambiare,바뀌다/교체하다,-,Voglio cambiare il mio stile di vita.,나는 내 라이프스타일을 바꾸고 싶어요.
crescere,성장하다/증가하다,-,I bambini crescono molto in fretta.,아이들은 정말 빨리 자라요.
ricordarsi,기억하다/생각해내다,-,L'italiano è ricordarsi.,이탈리아어는 기억하다/생각해내다입니다.
contadino,시골의/농부의,m,Il contadino è molto importante per noi.,그 contadino(은/는) 우리에게 매우 중요합니다.
edificio,건물/건축물,m,Il edificio è molto importante per noi.,그 edificio(은/는) 우리에게 매우 중요합니다.
invece,반대로/반면에,-,L'italiano è invece.,이탈리아어는 반대로/반면에입니다.
paesino,마을,m,Il paesino è molto importante per noi.,그 paesino(은/는) 우리에게 매우 중요합니다.
rimanere,남다/머무르다,-,Mi piace rimanere quando ho tempo libero.,나는 자유 시간이 있을 때 남다/머무르다는 것을 좋아합니다.
grazioso,예쁜/우아한,m,Il grazioso è molto importante per noi.,그 grazioso(은/는) 우리에게 매우 중요합니다.
lasciare,놔두다/포기하다/버리다,-,Mi piace lasciare quando ho tempo libero.,나는 자유 시간이 있을 때 놔두다/포기하다/버리다는 것을 좋아합니다.
abbandonare,버리다/포기하다/단념하다,-,Mi piace abbandonare quando ho tempo libero.,나는 자유 시간이 있을 때 버리다/포기하다/단념하다는 것을 좋아합니다.
fabbrica,공장,f,La fabbrica produce automobili.,그 공장은 자동차를 생산합니다.
scorso,지난/전의,m,Il scorso è molto importante per noi.,그 scorso(은/는) 우리에게 매우 중요합니다.
preparare,준비하다,-,Mi piace preparare quando ho tempo libero.,나는 자유 시간이 있을 때 준비하다는 것을 좋아합니다.
controllare,검사하다/관리하다/감독하다,-,Mi piace controllare quando ho tempo libero.,나는 자유 시간이 있을 때 검사하다/관리하다/감독하다는 것을 좋아합니다.
invitare,초대하다,-,Mi piace invitare quando ho tempo libero.,나는 자유 시간이 있을 때 초대하다는 것을 좋아합니다.
per fortuna,다행히/운이 좋게,f,La per fortuna è bellissima in questo periodo.,그 per fortuna(은/는) 이 시기에 매우 아름답습니다.
fine settimana,주말,f,La fine settimana è bellissima in questo periodo.,그 fine settimana(은/는) 이 시기에 매우 아름답습니다.
decidere,결정하다,-,Mi piace decidere quando ho tempo libero.,나는 자유 시간이 있을 때 결정하다는 것을 좋아합니다.
campagna,시골/전원,f,La campagna è bellissima in questo periodo.,그 campagna(은/는) 이 시기에 매우 아름답습니다.
copia,복사/카피,f,La copia è bellissima in questo periodo.,그 copia(은/는) 이 시기에 매우 아름답습니다.
trattoria,식당,f,La trattoria è bellissima in questo periodo.,그 trattoria(은/는) 이 시기에 매우 아름답습니다.
vicino,이웃,m,Il vicino è molto importante per noi.,그 vicino(은/는) 우리에게 매우 중요합니다.
portone,대문,-,L'italiano è portone.,이탈리아어는 대문입니다.
porta,문,f,La porta è bellissima in questo periodo.,그 porta(은/는) 이 시기에 매우 아름답습니다.
rendersi conto,깨닫다,m,Il rendersi conto è molto importante per noi.,그 rendersi conto(은/는) 우리에게 매우 중요합니다.
portafoglio,지갑,m,Il portafoglio è molto importante per noi.,그 portafoglio(은/는) 우리에게 매우 중요합니다.
provare a,시도하다,f,La provare a è bellissima in questo periodo.,그 provare a(은/는) 이 시기에 매우 아름답습니다.
vuoto,빈/공백의,m,Il vuoto è molto importante per noi.,그 vuoto(은/는) 우리에게 매우 중요합니다.
fare la spesa,장보다,f,La fare la spesa è bellissima in questo periodo.,그 fare la spesa(은/는) 이 시기에 매우 아름답습니다.
chiamare,부르다/전화하다,-,Mi piace chiamare quando ho tempo libero.,나는 자유 시간이 있을 때 부르다/전화하다는 것을 좋아합니다.
chiave,열쇠,f,La chiave è bellissima in questo periodo.,그 chiave(은/는) 이 시기에 매우 아름답습니다.
salire,올라가다,-,Mi piace salire quando ho tempo libero.,나는 자유 시간이 있을 때 올라가다는 것을 좋아합니다.
fino,까지,m,Il fino è molto importante per noi.,그 fino(은/는) 우리에게 매우 중요합니다.
davanti a,앞에,f,La davanti a è bellissima in questo periodo.,그 davanti a(은/는) 이 시기에 매우 아름답습니다.
frigorifero,냉장고,m,Il frigorifero è molto importante per noi.,그 frigorifero(은/는) 우리에게 매우 중요합니다.
egoista,이기주의자,f,La egoista è bellissima in questo periodo.,그 egoista(은/는) 이 시기에 매우 아름답습니다.
buddista,불교신자,f,La buddista è bellissima in questo periodo.,그 buddista(은/는) 이 시기에 매우 아름답습니다.
barista,바리스타/바텐더,f,La barista è bellissima in questo periodo.,그 barista(은/는) 이 시기에 매우 아름답습니다.
illuminista,계몽주의자,f,La illuminista è bellissima in questo periodo.,그 illuminista(은/는) 이 시기에 매우 아름답습니다.
tennista,테니스 선수,f,La tennista è bellissima in questo periodo.,그 tennista(은/는) 이 시기에 매우 아름답습니다.
linguista,언어학자,f,La linguista è bellissima in questo periodo.,그 linguista(은/는) 이 시기에 매우 아름답습니다.
protagonista,주인공,f,La protagonista è bellissima in questo periodo.,그 protagonista(은/는) 이 시기에 매우 아름답습니다.
